Company,Company_ID,Year,Total equity,Total assets,Receivables,BookLev(Debt_ratio),Mkt(Debt_ratio),Profitability ratio,Size (ln_total assets),Tangible_ratio (Fixed Asset ratio),Effective tax rate,Liquidity ratio,Asset_turn over,Change in Receivables,Current Asset,PPE,Total liabilities,Current Liabilities,Cashflow from operations,operating expenses,Revenue,Change in Revenue,Gross Profit,Operating Profit,Profit before tax,Net income,Auditor,Audit fee,Audit days,TAC,Rule of law,Financial sector rating,Institutional quality,Macroeconomic Mgt.,Accountability and corruption,Profit Tax
Car & General (Trading) Limited,5,2009,1307802000.0,3214248000,702145000,0.5931234926489805,0.5931234926489805,0.11831725492245776,21.8908592636993,0.12495706616290965,0.29137048570099144,1.3033428427309024,0.7389943968130509,664683000.0,2191107000,401643000,1906446000.0,1681144000,-154690000.0,600533000,4349489000,1352147000.0,902664000,380301000,279390000,197984000,Delliote & Touche,32250.0,120.0,352674000,4.0,3.0,3.5,3.5,3.5,18.5
Car & General (Trading) Limited,5,2010,1555906000.0,3871293000,862370000,0.5980913870378708,0.5980913870378708,0.1224877579661369,22.076854396713408,0.1308216660428441,0.27626946153261944,1.313152353744779,0.8100095034479815,160225000.0,2677972000,506449000,2315387000.0,2039346000,95178000.0,622212000,4779318000,429829000.0,1024958000,474186000,329175000,238234000,Delliote & Touche,36380.0,119.0,143056000,4.0,3.0,3.5,3.5,3.5,17.7
Car & General (Trading) Limited,5,2011,1920322000.0,5562239000,969062000,0.6547573737841902,0.6547573737841902,0.11138608031765625,22.439266561989616,0.11589146025548344,0.3253366236218412,1.1232568616924836,0.9139241084529254,106692000.0,3487990000,644616000,3641917000.0,3105247000,76574000.0,759215000,6086106000,1306788000.0,1068600000,619556000,427926000,288706000,Delliote & Touche,49020.0,118.0,212132000,4.0,3.0,3.5,3.5,3.5,10.0
Car & General (Trading) Limited,5,2012,2143154000.0,5705400000,1007150000,0.6243639359203561,0.6243639359203561,0.1062551267220528,22.464678931737726,0.11883443755039086,0.24811716189304917,1.160055291803243,0.9989269073132606,38088000.0,3397179000,677998000,3562246000.0,2928463000,280516000.0,749991000,5711529000,-374577000.0,4695638000,606228000,354518000,266556000,Delliote & Touche,52400.0,80.0,-13960000,2.5,3.5,3.0,4.0,3.0,
Car & General (Trading) Limited,5,2013,2504178000.0,6901430000,1443407000,0.4816074349808663,0.5703163955539831,0.09629047892972906,22.654994473453872,0.11439208975531158,0.31195788822338766,1.4774210160595682,0.9780909098768272,436257000.0,4188592000,789469000,3323780000.0,2835070000,95145000.0,835629000,7056021000,1344492000.0,1194169000,664542000,458969000,315790000,Delliote & Touche,57570.0,119.0,220645000,2.5,3.5,3.0,4.0,3.0,
Car & General (Trading) Limited,5,2014,2832398000.0,8152812000,2010557000,0.6525863714262023,0.6525863714262023,0.0852667766655235,22.821628735364634,0.11207163859537053,0.33765201645620524,1.1994056972783638,0.9824364793716117,567150000.0,5026058000,913699000,5320414000.0,4190457000,-197154000.0,1136733000,8298564000,1242543000.0,1479961000,695164000,420267000,278363000,Delliote & Touche,71960.0,79.0,475517000,2.5,3.5,3.0,4.0,3.0,
Car & General (Trading) Limited,5,2015,3021113000.0,8988047000,1968677000,0.663874365587986,0.663874365587986,0.012729239177320724,22.919161420450305,0.11519999839787219,0.3227024825724849,1.0562071264004291,79.71165426536712,-41880000.0,5276589000,1035423000,5966934000.0,4995790000,404590000.0,125358000,112757000,-8185807000.0,103033000,114411000,125233000,84820000,Delliote & Touche,81020.0,78.0,-319770000,2.5,3.5,3.0,4.0,3.0,
Car & General (Trading) Limited,5,2016,3238539000.0,9705198000,1829998000,0.6663088171926014,0.6663088171926014,0.014540043387059182,22.995927455213984,0.14606749908657196,-0.1683612021398762,1.0054346688260327,79.47523666022471,-138679000.0,5666853000,1417614000,6466659000.0,5636222000,-223219000.0,79266000,122116000,9359000.0,101679000,141114000,107109000,125142000,Delliote & Touche,92120.0,77.0,348361000,2.5,3.5,3.0,4.5,3.0,
Car & General (Trading) Limited,5,2017,1747413000.0,3143858000,32335000,0.44418195732758925,0.44418195732758925,0.04766532076194281,21.868716545098984,0.15881188018033893,0.4227400676999822,1.2746150625551018,36.63871245935646,-1797663000.0,1007689000,499282000,1396445000.0,790583000,599741000.0,132730000,85807000,-36309000.0,87321000,149853000,140325000,81004000,Delliote & Touche,92670.0,119.0,-518737000,2.5,3.5,2.5,4.5,3.0,21.8
Car & General (Trading) Limited,5,2018,19884490000.0,3720192000,51849000,0.46656247849573357,0.08028152571448025,0.08727506537297,22.037041116802794,0.14772248314065511,0.3216123552123552,0.7347252871501758,33.063377089684224,19514000.0,753787000,549556000,1735702000.0,1025944000,538632000.0,113591000,112517000,26710000.0,31612000,324680000,323750000,219628000,Delliote & Touche,110310.0,80.0,-319004000,2.5,3.5,2.5,4.5,3.0,21.8
